document_id,country,title_original,title_translated,institution,authors,publication_year_original,publication_year_version_used,document_type,education_level,curricular_area,language_original,language_analysis,official_source_url,landing_page_url,access_date,doi,isbn,edition,version,current_status,file_name,relative_path,number_of_pages,file_size,sha256,ocr_used,ocr_engine,translation_used,translation_tool,translation_model,translation_date,source_verified,source_confidence,source_type,inclusion_reason,exclusion_reason,notes
AU_001,Austrália,australia_digital-technologies-v9_sequence-achievement_2022,australia_digital-technologies-v9_sequence-achievement_2022,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,australia_digital-technologies-v9_sequence-achievement_2022.pdf,australia/australia_digital-technologies-v9_sequence-achievement_2022.pdf,,114157,b61d8ac8880ebc56554e487f5f13aa0578372574337cbfa76c6789c13fa9be91,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
AU_002,Austrália,australia_digital-technologies-v9_sequence-content_2022,australia_digital-technologies-v9_sequence-content_2022,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,australia_digital-technologies-v9_sequence-content_2022.pdf,australia/australia_digital-technologies-v9_sequence-content_2022.pdf,,139289,3469c2340cdd64bdd728313e586fc874328592671e85ac47f915a46863f01a8e,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_001,Brasil,brasil_bncc-computacao_anexo-parecer-cneceb-2_2022,brasil_bncc-computacao_anexo-parecer-cneceb-2_2022,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf,brasil/brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf,,1426596,b0f021db3c7c2c042b821cec5fab7d77ed1888dbb61590461ce2afef404865b7,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_002,Brasil,brasil_bncc-computacao_complemento-bncc_2022,brasil_bncc-computacao_complemento-bncc_2022,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_bncc-computacao_complemento-bncc_2022.pdf,brasil/brasil_bncc-computacao_complemento-bncc_2022.pdf,,1426590,60aab0b192acf867bc582dc06678cd8f3bc597e8f1b65256fc7bf04190bb793d,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_003,Brasil,brasil_bncc_educacao-basica_completa_2018,brasil_bncc_educacao-basica_completa_2018,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_bncc_educacao-basica_completa_2018.pdf,brasil/brasil_bncc_educacao-basica_completa_2018.pdf,,3058960,ad623d7b33986a4e87e1441a4e675064cd30db3650b86a75caefa476e802272b,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_004,Brasil,brasil_bncc_educacao-infantil-ensino-fundamental_2018,brasil_bncc_educacao-infantil-ensino-fundamental_2018,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf,brasil/brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf,,3058960,ad623d7b33986a4e87e1441a4e675064cd30db3650b86a75caefa476e802272b,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_005,Brasil,brasil_cieb-itinerario-formativo-tecnologia-computacao_2021,brasil_cieb-itinerario-formativo-tecnologia-computacao_2021,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_cieb-itinerario-formativo-tecnologia-computacao_2021.pdf,brasil/brasil_cieb-itinerario-formativo-tecnologia-computacao_2021.pdf,,1927573,d31ab6099b10988af6591a31504e25ee6e350cc670891af40798b773d443d2d8,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_006,Brasil,brasil_curriculo-referencia-tecnologia-computacao-cieb_2018,brasil_curriculo-referencia-tecnologia-computacao-cieb_2018,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf,brasil/brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf,,948770,7f2517b8f7512ca83a2a525c1e130fe733a74f4e804da9a297ff5aa72f892764,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_007,Brasil,brasil_guia-complemento-computacao-bncc_2023,brasil_guia-complemento-computacao-bncc_2023,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_guia-complemento-computacao-bncc_2023.pdf,brasil/brasil_guia-complemento-computacao-bncc_2023.pdf,,192742,7383d84714ec10f2fed2fdd15c0d894dfeec85b5480b60061a50d303eb565feb,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_008,Brasil,brasil_guia-educacao-digital-midiatica_2025,brasil_guia-educacao-digital-midiatica_2025,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_guia-educacao-digital-midiatica_2025.pdf,brasil/brasil_guia-educacao-digital-midiatica_2025.pdf,,1109949,5dc417560d7bd687e8320a0bcd26da700e04c58e7ed29f4e24294742663b9b5d,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
